shot,training_samples,training_minutes,validation_accuracy,validation_macro_f1,validation_weighted_f1,test_accuracy,test_precision,test_recall,test_weighted_f1,test_macro_f1
4,8,1.756280517578125,0.8078947368421052,0.8078614718614718,0.8077350649350651,0.814931650893796,0.818201532327652,0.814931650893796,0.8149746245610675,0.8149265349810255
8,16,4.466514388720195,0.8131578947368421,0.811369563241535,0.812287895631017,0.814931650893796,0.8186097210200843,0.814931650893796,0.8136700698282013,0.8126477541371159
16,32,7.213999823729197,0.8631578947368421,0.8620535589623299,0.8626706877774986,0.8675078864353313,0.8695949499994006,0.8675078864353313,0.866993773920161,0.8663896917148362
32,64,12.28369421561559,0.8776315789473684,0.8754315746062296,0.8762592990118064,0.9032597266035752,0.9088403330415046,0.9032597266035752,0.9026002637738324,0.902065871480765
