shot,training_samples,best_C,cv_macro_f1_mean,cv_macro_f1_std,accuracy,precision,recall,f1_score
4,8,2.0,0.5666666666666667,0.3179797338056486,0.7676130389064143,0.8229013404097296,0.7676130389064143,0.7538699300371301
8,16,2.0,0.7083333333333334,0.26052830940226057,0.7718191377497371,0.8040096072763802,0.7718191377497371,0.762945612729866
16,32,4.0,0.8471572871572872,0.13457436099296757,0.879074658254469,0.8807133713863277,0.879074658254469,0.8786880428785492
32,64,1.0,0.86656420462922,0.08397077523798074,0.879074658254469,0.8895632140904897,0.879074658254469,0.8776628002120918
